LOCATION_ZIPCODE_x,Households,Median_income,White_Resident_Percentage
2553,103,42341,100
1364,3276,41994,98.4
1220,3821,41950,97.7
1088,304,41875,85.2
1609,7101,41647,64.1
2720,13320,41576,87.3
1013,9131,41342,74.2
1376,2364,41250,93.1
2657,1737,41250,93.7
1009,262,40929,93.5
1097,14,40556,100
2601,6279,40385,83.8
2639,1369,40142,98.2
1247,7072,39636,94.5
1379,409,38750,86.1
2134,7885,38507,61.8
1347,56,38000,92.9
1902,16623,37786,46.6
1083,1210,37126,98.9
1224,101,37112,86.1
2215,7607,36719,64.4
1605,10516,36497,52
1040,15599,35550,52.6
1108,9620,35238,45.7
2740,18072,35174,67.4
1151,3395,34280,52.5
1229,58,34250,100
2120,4723,32828,39.4
1109,9391,32644,19
2713,32,32500,100
1841,15155,32367,18.7
1350,66,32083,100
2723,6482,31255,81.8
1610,7459,31136,42.2
2721,11000,30743,85.6
2744,4667,29663,72.9
1104,8872,29184,40.8
2724,7585,27737,84.4
1244,69,27639,100
2115,9560,27456,59.5
2119,10309,27159,8.9
2121,10120,26530,2.4
2746,6051,25872,64.6
1901,978,22614,46.3
1107,4005,22287,15.3
1608,1429,21412,27.4
1561,52,19597,80.8
1094,168,19028,100
1840,2176,18140,15
1105,4969,17657,14.5
1103,1481,13666,30.9
